HBondDonors	HBondAcceptors	MolecularWeight	LogP	TPSA	HydrophobicContacts	ClosestPolarContact	RotatableBonds
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	101	1.7357655314010572	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	103	1.7398296640763424	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	95	1.8891090492610516	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	102	1.811723174218401	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	116	1.6634605195194736	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	119	1.7825216408223488	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	98	2.2941929604983087	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	98	2.161760419195429	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	96	2.151554649549948	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	96	2.1631986524589	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	92	1.9892713339310948	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	119	1.6565719905877925	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	119	1.6805747856016409	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	105	1.9078482801313097	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	114	1.6495326671515183	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	112	1.6587160938509042	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	114	1.8497113991106817	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	115	1.8787577252003507	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	114	1.867893417730251	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	119	1.8813604891141928	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	95	2.011020621475573	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	117	1.8622974735524926	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	97	2.0338949505812742	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	118	1.7789123109360943	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	81	1.8501939736146575	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	115	1.8639079537359127	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	116	1.862990381080911	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	132	1.6633232097220312	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	117	1.841992141677048	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	92	1.8633205897000122	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	86	1.9264894212011652	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	86	2.062397001064539	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	108	2.0479084403361396	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	83	2.1099310154599826	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	126	1.8093035289856707	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	110	1.9184512998770646	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	126	2.183352619253244	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	111	2.06135994430861	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	82	2.1423132263980453	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	64	1.7582271440288924	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	106	1.930380382204501	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	79	1.8325376094367056	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	110	1.6522107038752645	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	119	1.8107396499773225	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	104	1.9618232361759806	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	107	2.1397967333370715	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	118	1.7815232414986883	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	112	1.7666147287962923	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	119	1.7617824667080775	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	80	1.6698118367049608	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	109	1.819704379837561	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	127	2.10470718390944	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	100	1.791181682577174	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	98	1.8725919176371564	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	114	1.8796277663409844	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	132	1.6545612409336798	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	90	1.7026778262489939	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	66	1.836712065077157	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	126	1.9445282564159359	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	130	1.8627579848171365	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	121	1.802267408016912	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	129	1.8534952441266204	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	118	1.806039739319154	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	108	2.132611774327433	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	110	1.8197560578275318	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	88	1.7711451944998744	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	109	1.8520534630512147	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	77	1.9411337795216497	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	81	1.8422724282798149	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	120	1.6873132667053852	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	111	1.9599123500809925	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	106	1.737925274573103	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	129	1.90362410942917	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	128	1.901351093301813	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	127	1.928301223875564	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	57	1.8100121049318971	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	104	2.0441447649322693	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	79	1.6983109285404707	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	129	2.054890792718677	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	124	2.060132745722954	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	98	2.06864458281262	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	75	1.7205839270433736	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	132	1.9537626544695748	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	104	2.003295287769629	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	104	1.8576362668724997	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	74	1.8904959005509632	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	79	2.0320342393768875	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	114	2.051149212027248	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	85	2.1247319289736284	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	104	1.8907794318745905	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	110	1.8303088318641734	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	72	1.9469288353712362	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	69	2.0273480559588184	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	105	2.1529596861065485	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	111	2.1500905608834255	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	89	2.073976128117197	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	109	2.026240965433281	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	100	2.1264258298845045	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	116	2.0335233856535804	5
3	10	316.1899999999998	-2.273299999999999	168.41000000000003	112	2.2504398436750086	5
