PMI1	PMI2	PMI3	NPR1	NPR2	RadiusOfGyration	InertialShapeFactor	Eccentricity	Asphericity	SpherocityIndex	PBF
2068.587383652089	8835.032276433683	10287.502034952522	0.20107771319256276	0.8588122020696599	5.098766603514619	0.0004151684424147593	0.979575292286024	0.5141587649696531	0.14038719732960267	0.9932383294182182
1768.2031874638976	9043.589343223166	10144.8235973273	0.17429609992723172	0.891448654228521	5.070476087782698	0.0005041550996789628	0.9846932870443246	0.5661086486309563	0.13549234521727746	0.8972390514778144
1445.6047474610111	10952.9293104731	11950.776595685013	0.12096324752509942	0.9165035613190027	5.465520090631801	0.0006339931872309524	0.9926569864500937	0.6805441799959789	0.08586321398037522	0.764406632961775
2250.147517023447	8935.431169580665	10585.41831424083	0.2125704861371673	0.8441264109099594	5.168057283255185	0.0003751426982114451	0.9771457355089916	0.4932407455314633	0.11942018259007109	0.8633006267376301
2315.4901690384836	9716.97895014605	11513.340670207706	0.20111366764557928	0.8439756303997865	5.374585491725442	0.00036449113094280623	0.9795679112170547	0.5144591576251132	0.10315955932420472	0.8524183073372212
3513.4682630305006	4990.172285715159	7260.685876606038	0.48390308060990644	0.6872866242283688	4.397702731506	0.00019561486621642567	0.8751215964517401	0.17204284381012813	0.2955114635890304	1.199031287650623
2663.596652823631	7489.275141635625	9204.062385795083	0.28939358961043576	0.8136923488474022	4.873112599769906	0.0003054863235335656	0.9572101912810929	0.36833219069983	0.2137095658814853	1.1369036141239337
2317.069868800756	8388.68185739269	9970.776008294339	0.2323861118606282	0.8413268787117913	5.036478263255414	0.00036309948613989627	0.9726236142590307	0.4582100806122971	0.15987113962821384	1.0053397635891401
1696.9000992197414	8247.995808256766	8688.67712216454	0.19530016771954883	0.9492809655932997	4.781192501379387	0.0005594206553643273	0.9807435161594066	0.5299155515642705	0.25998853743390193	1.1755319259643835
1720.5647681842254	9397.02677255723	10510.017524930483	0.16370712647271307	0.894101912795753	5.151010263079723	0.0005196560625493519	0.9865089846230732	0.5875800170438855	0.14463620645800676	0.959008252515954
2204.500278132662	9304.855555815851	10787.035538444969	0.20436571941158704	0.8625961713626852	5.230045285268458	0.00039128875596847445	0.9788946075698775	0.5080041467463496	0.1444753243874097	1.0032701161817252
2558.7813846801387	7655.693383578442	9254.091686882995	0.2765027051014662	0.8272765866832542	4.88714412409775	0.000323308818657311	0.9610131393854985	0.3871013978203193	0.20931788585153793	1.1479546056155763
2301.1119615010466	10391.660401470517	12181.537492839938	0.18890160317230842	0.8530664054170933	5.524127321798127	0.0003707192086649389	0.9819960205209244	0.5374980875017671	0.10235810155074458	0.8306138436918205
2205.153190722556	9470.31345188298	10994.118200601473	0.20057572153462155	0.8613981839275542	5.27363348428444	0.0003906296340551753	0.9796782022331956	0.5150723693120862	0.1399622237173246	0.9411373381562536
1291.5745320919702	10516.579182091602	10902.090553304342	0.11847035444963384	0.9646387663606505	5.278360673676645	0.0007468703836999789	0.9929575897874884	0.6887428370389543	0.16957000549466938	1.0630251652672011
1757.3246187750085	8491.197877083006	9112.52459931451	0.192847174196622	0.93181618162345	4.8736302859070815	0.0005302470423893556	0.9812288048179068	0.5326398516359013	0.2365392798127865	1.165226047717708
1274.3915453712373	9994.464244814013	10581.370180614087	0.12043728965328367	0.9445340323812381	5.177452535230444	0.0007411647039027476	0.9927209372532498	0.6828358792654101	0.14849765514172464	0.9932999745093194
1562.467055439662	10418.976891966313	11409.541885900422	0.1369438905667644	0.9131810020209294	5.356886228239793	0.0005844481641015911	0.990578805969741	0.6447506766070239	0.1215177312085906	0.9191544612803908
2254.2150594259783	8053.296366554191	9440.302997480587	0.23878630378999272	0.8530760473157951	4.922068783604247	0.00037843596321862275	0.9710721400196348	0.44717086301692266	0.1873287713071769	1.0046572681688142
1401.0470542416665	10132.66352803604	10912.640603675905	0.1283875374553915	0.9285253584382563	5.247603783290021	0.0006627367408019226	0.9917240746428114	0.6641804548014838	0.12091571920626133	0.8923840095126991
2566.8216571303033	8054.35997763754	9717.088733031149	0.2641554201728082	0.8288861200020208	4.9951112820492884	0.00032292314415358027	0.9644801262821994	0.40616477382518723	0.1931236656529503	1.101569753756739
1406.2676372878425	9149.312146548831	9481.1137060184	0.1483230431457831	0.9650039468191435	4.957939091186529	0.0006862164222738357	0.9889389641792735	0.6240478978197556	0.2303584245552835	1.1934527454835355
2139.887878619931	9149.224948498897	10707.327474635178	0.199852660123561	0.8544825933616671	5.194746533753202	0.0003993118526904994	0.9798259612000165	0.5165287549710113	0.12807325647926734	0.9036765973497343
1847.305650219466	9222.707634827191	10332.831682536571	0.17878019375284912	0.892563424836815	5.124174520284762	0.0004831704080647268	0.9838890396389695	0.5572502093978448	0.1216707638170287	0.7968375294443888
1751.798652376243	5615.701339433169	6065.871690287039	0.28879586345047586	0.9257863710545173	4.059575991428655	0.0005284776134510242	0.9573906983326578	0.3739828181232158	0.37428513639060706	1.2426005761373162
2773.784651229138	7672.190184676551	9780.269205670409	0.28361025580164523	0.784455930950077	4.98133536467578	0.0002828106827263839	0.9589396345986151	0.3790223421086594	0.16073431981554379	1.048076427574645
2117.5049964295795	6376.746910294685	7927.9425855707495	0.26709388641178405	0.8043381799838816	4.488526105778288	0.00037985184513855333	0.9636705120742509	0.4027501382606439	0.14125839918653102	0.8313050870108407
2130.2900005162724	8172.393182545148	9451.593746993256	0.22538950123559437	0.8646576864504943	4.922874095506968	0.0004058873140468885	0.9742687374296528	0.470207369713198	0.19357512874776955	1.0529196726605927
